model,OA,AUC,RMSE,Kappa,Sensitivity,Specificity,TP,TN,FP,FN,fold
RF,0.8581774290887145,0.9151687322895499,0.30895141398966564,0.4275732705331692,0.8333333333333334,0.8604344963791969,115,1307,212,23,1
RF,0.8620689655172413,0.9009754015226406,0.33271226465386206,0.7190348236157424,0.9137769447047798,0.7990867579908676,975,700,176,92,2
RF,0.8345293372731111,0.8817429566888928,0.35543243562910903,0.6651928124369069,0.9106145251396648,0.7491039426523297,1141,836,280,112,3
RF,0.840121171322787,0.8489145392030681,0.36271754198227574,0.5741103388376303,0.8832667554371949,0.7047353760445683,1990,506,212,263,4
RF,0.7616279069767442,0.8838264764823766,0.4039230336120837,0.14606318282116137,0.8823529411764706,0.7575150300601202,15,378,121,2,5
GBM,0.8503319251659626,0.910767953745313,0.32520883352551777,0.40910267397518707,0.8260869565217391,0.8525345622119815,114,1295,224,24,1
GBM,0.8409675759135358,0.8971297496929469,0.35034431275239414,0.6782069457136655,0.8641049671977507,0.8127853881278538,922,712,164,145,2
GBM,0.8239763613338962,0.8745054879042984,0.3612784409563155,0.6451548247008303,0.8707102952913008,0.771505376344086,1091,861,255,162,3
GBM,0.7946819252776843,0.8467935664857874,0.3854463677942455,0.49364765022290225,0.8149134487350199,0.7311977715877437,1836,525,193,417,4
GBM,0.7732558139534884,0.8796416362136037,0.4179706808493563,0.15483256803673418,0.8823529411764706,0.7695390781563126,15,384,115,2,5
XGBoost,0.8473144236572119,0.9186583469292345,0.3221108035792153,0.4077737108210089,0.8405797101449275,0.847926267281106,116,1288,231,22,1
XGBoost,0.8512609366958311,0.8980530484908397,0.3411157196770288,0.6977974990783671,0.8922211808809747,0.8013698630136986,952,702,174,115,2
XGBoost,0.8383284086112284,0.8785499031714565,0.35468833267853583,0.6730896236697255,0.9090183559457302,0.7589605734767025,1139,847,269,114,3
XGBoost,0.8064624705486368,0.8436835071034968,0.3851132831245951,0.5171089828626089,0.8286728806036396,0.7367688022284122,1867,529,189,386,4
XGBoost,0.7616279069767442,0.8753978545325947,0.41366855306615347,0.14606318282116137,0.8823529411764706,0.7575150300601202,15,378,121,2,5
