elevation,slope,aspect,plan_curv,prof_curv,twi,tri,spi,sti,flow_acc,dist_river
0.49964845,0.12331624,-0.029265359,0.31531122,-0.09876016,-0.006877309,0.6064169,0.2167333,0.09392401,-0.012039556,-0.45330784
-0.07757825,-0.8725854,-0.16730846,-0.31382874,-0.25459132,-0.3324,-3.9303348,-0.50083196,-0.0720155,0.004076067,0.13896468
-1.3280687,-0.28176513,-0.32871503,-0.16154343,-0.1370611,0.09471703,-1.2381601,-0.43121362,-0.0047870856,-0.031227408,0.05294997
0.35863176,-0.32810834,-0.009272451,0.0024146046,0.26579073,-0.13697353,-0.28495666,-0.3160298,-0.027487261,-0.012115392,-0.071155004
-0.24263309,0.042424433,-0.32325035,0.7410286,0.37087294,0.2557735,0.69089955,-0.0063496223,0.036415905,0.005199937,0.11631955
-0.21933709,0.13594176,0.21916209,-0.046278663,-0.091637544,-0.10920335,-0.33590108,0.1419984,-0.045191355,-0.066689245,-0.14282504
0.2812573,-1.0361059,0.13658278,-0.26169917,-0.3072213,-0.42583126,-4.2153444,-0.5227463,-0.116648056,-0.05613838,-0.10929531
0.36058477,1.05444,0.0063401256,-0.100754395,0.13164084,0.52422255,1.1254458,0.39205304,-0.0038359277,0.01004972,0.079905756
0.53723896,0.33884585,0.26953334,-0.010834532,-0.20302483,0.40952328,0.64717513,0.07401624,0.011841999,0.0031923074,-0.09256094
-1.2051182,-0.4603418,-0.24286883,-0.045337014,0.2317481,-0.12508032,-1.0676087,-0.44961718,-0.035248112,-0.026884368,0.18963322
-0.76404405,-1.0198985,-0.117723726,-0.30658406,-0.1359011,-0.286777,-2.9736753,-0.3161367,-0.0003954993,-0.042007092,0.5020412
-0.16851592,0.23479204,-0.18505329,0.12223715,0.2781635,0.38982287,0.43165237,0.06696753,0.013108883,0.0010099759,-0.006509866
0.099288546,-0.8421637,0.22621846,-0.29556143,-0.2516365,-0.41093117,-4.0872674,-0.50573075,0.005775911,-0.032227304,-0.024428876
0.10916842,0.4181246,0.13384154,-0.0954358,-0.10603792,0.5026625,0.5752448,-0.050328318,0.0497119,0.004019747,0.034660157
0.37456343,0.19430374,0.12620333,0.32642442,-0.11298876,-0.13453479,0.5905287,0.24032022,0.17143494,0.045303334,0.067962
-0.3340547,-1.1646228,-0.054021206,-0.18360151,-0.30859485,-0.38454926,-3.830013,-0.4683168,-0.03985101,-0.027187847,0.16421242
0.6097539,0.47443682,0.058306266,0.15707113,-0.07612059,0.33100855,0.64954275,0.14829123,0.00607622,0.014511035,0.08749268
0.2692439,0.06365898,-0.23837829,0.15026575,0.41546598,0.268992,0.63800585,-0.18848465,0.038459513,0.0031174975,-0.1628172
0.302003,0.29148412,-0.15006733,0.13718203,0.06811062,0.35637483,0.636141,0.537689,0.16548064,0.22775903,-0.07533624
-0.024414295,-0.9573224,-0.16830036,-0.09565828,-0.15334119,-0.35864404,-3.5871308,-0.3263857,0.025936624,-0.041935433,0.04290295
0.47140005,0.37312278,-0.26218724,-0.00551338,-0.0029934812,0.118502885,0.6389906,0.32013166,0.09107622,0.051532168,0.2142489
-0.32726866,0.10853923,0.1872737,0.65570664,0.19384374,0.12298959,0.64738715,0.027920846,0.012944582,0.003461082,-0.10707759
0.40076643,-0.55087614,-0.14444721,0.15159439,-0.18378317,-0.14590684,-1.0014735,-0.36617962,-0.02535024,-0.017020976,0.10711846
0.030797845,0.37968826,-0.10840083,0.0108308,-0.14404063,0.18815021,0.57297015,0.17459068,0.043474227,0.034020092,0.2876539
0.5444784,0.51290804,0.0338057,0.22039582,-0.11169389,0.4617374,0.80372244,0.058425363,0.02345892,0.015147827,0.04433246
-0.060310498,0.42636126,0.0743101,0.21492532,-0.12335835,0.4418814,0.75543195,-0.03464358,0.024787366,0.003991237,0.11147923
-0.913543,-0.9706774,0.15485276,-0.25656214,-0.24921924,-0.31206217,-3.4290445,-0.2943538,-0.018356651,-0.014566715,-0.1902593
0.31796545,-0.86430043,0.073605016,-0.29015562,-0.23481187,-0.36937568,-4.02458,-0.6370552,-0.031819884,-0.026377533,0.042073883
0.24071535,-1.1201869,0.037572186,-0.14296101,-0.26969928,-0.5580949,-4.000696,-0.52959335,-0.027724942,-0.024367163,-0.099137865
0.6375845,0.078939624,0.0782401,0.4001443,0.010010294,0.14509724,0.6795562,-0.0784903,0.036696732,0.007158378,0.002880428
-0.54664373,-0.9853125,-0.026794968,-0.1524804,-0.23616792,-0.41119984,-3.877713,-0.4118593,-0.09382574,-0.055695467,-0.1290818
0.18003875,-1.0633157,-0.034820702,-0.10670866,-0.20859747,-0.53727394,-3.8354442,-0.60087097,-0.042156175,-0.022500265,-0.12775397
0.0148935,-1.0427488,-0.058448005,-0.31233191,-0.26554817,-0.36622694,-3.9964764,-0.6039448,-0.062285684,-0.022119673,0.07295664
-1.3568655,-0.66104996,0.26204363,0.3252991,-0.16780587,-0.09391696,-0.8510776,-0.2732408,-0.022387369,-0.02459119,0.047775894
0.1686689,0.23890442,0.15449598,0.3094817,-0.17129567,-0.07355951,0.26278898,-0.047977164,-0.016289977,0.029420909,-0.0011142812
0.86219573,0.21448123,0.018758759,0.25552973,0.037712496,-0.14880651,0.60257566,0.13834287,0.07040541,0.077505864,0.03838329
0.2758569,0.7470771,0.011097042,-0.04242117,-0.09113044,0.28074995,0.8452141,0.33491853,0.0539313,0.05927294,0.074172795
1.1182581,0.21532261,0.42260066,0.046761796,-0.11026157,-0.11298859,0.32313758,-0.017218072,0.019165657,0.03694015,-0.0039231274
-0.13043481,-1.1074566,-0.008533664,-0.14882548,-0.18543203,-0.5506689,-4.0373096,0.14595917,-0.01971816,-0.02264242,0.03377562
-0.06033105,0.4641179,0.24164006,0.18533397,-0.007332049,0.4017806,0.7376224,-0.023882834,0.06369094,0.01152084,0.088499576
-0.8042904,-0.97578937,0.16385831,-0.37989515,-0.21760303,-0.27979338,-3.628234,-0.36171338,-0.03006743,-0.020114666,-0.19439366
-0.16232437,0.5115934,0.34427524,0.07805604,0.6236846,0.26605052,0.6608701,0.2916999,0.0325022,0.033238757,0.10368991
0.279256,-1.0645325,-0.09933999,-0.32345548,-0.25711477,-0.5363942,-3.8703134,-0.5845028,-0.026412118,-0.021930575,-0.1383642
0.37174526,0.2817085,-0.4866299,-0.1952827,-0.15028107,0.37313396,0.76440835,-0.04619963,0.09361649,0.008396903,-0.025280196
-1.5766358,0.110903546,-0.14005108,0.38574836,-0.017017279,0.12063978,-0.27995068,-0.29047385,-0.089710064,-0.03535423,-0.052643325
-0.0008320622,-0.9726892,0.0124470405,-0.22927381,-0.35902175,-0.48848003,-3.9762335,-0.402856,-0.014153664,-0.08319249,0.047320925
0.44665757,0.2631844,0.40603682,0.22743349,0.34711957,0.33083034,0.59155524,0.24838236,0.03899253,0.022796493,0.04990412
-0.12710162,0.4509445,0.3196273,0.029170867,0.018875971,-0.12422643,0.7766676,0.31823385,0.06540299,0.042305842,0.083728015
0.26030314,0.44275463,0.24833599,0.24858938,-0.1909775,0.39712933,0.80747557,0.023404555,0.026748605,0.014593029,0.036346797
-0.390181,-0.876892,-0.19903293,-0.35386488,-0.15765265,-0.23079053,-3.7974007,-0.56413627,-0.064010285,-0.017989215,0.10525657
-0.046018526,-0.14826523,0.3282712,0.2542977,-0.1620959,0.34288448,-0.026213448,-0.014042,0.047377672,0.025274104,0.064860046
-0.27713844,0.51911044,0.2155453,0.20284541,0.6912564,0.04603885,1.0152054,-0.0058978335,0.01634709,0.015735175,0.027963253
-1.3380361,-0.2922695,-0.48663738,-0.14578466,0.002190828,-0.20225018,-1.1227293,-0.36341223,-0.095287785,-0.028697398,-0.18499212
0.7413486,0.21035768,0.05283041,0.48273045,0.2947636,0.24213643,0.26484045,0.035412796,-0.035518732,-0.0021984028,-0.07187379
0.23224775,-0.07883,-0.10874583,0.4714676,-0.07143127,0.056561034,-0.1428616,0.55379826,0.13352819,0.1560486,0.098108575
-1.0381266,-1.0600178,-0.15263447,-0.2691686,-0.1715546,-0.26252508,-3.439507,-0.47674313,-0.001330455,-0.028528003,-0.027307099
-0.069266535,-0.22120719,-0.34375003,0.43196577,-0.15616576,0.13741033,-0.11739074,-0.18431443,-0.047668695,0.008039112,-0.17244339
